"term","package","description","title"
"library","base","Load an R package","All Functions Used on PO12Q"
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"theme","GGPLOT2","Customize ggplot themes",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
"margin","GGPLOT2","Set margins around plot elements (used inside theme elements)",""
"element_blank","GGPLOT2","This theme element draws nothing, and assigns no space",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"replace","base","Replace elements in a vector",""
"factor","base","Create a factor",""
"factor","base","Create factor variables",""
"mutate","dplyr","Create new variables",""
"recode","dplyr","Recode a variable",""
"as.numeric","base","Coerce a vector to numeric",""
"as.character","base","Coerce a vector to character",""
"cor.test","stats","Test for Association/Correlation Between Paired Samples",""
"cut","base","Convert Numeric to Factor",""
"c","base","Combine values/vectors into a vector",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_point","GGPLOT2","Generates a scatter plot",""
"labs","GGPLOT2","Customise labels in GGPLOT2",""
"sum","base","Get sum of numeric values or a vector",""
"complete.cases","stats","Find Complete Cases",""
"pwr.r.test","pwr","Power analysis for correlation tests",""
"setwd","base","Set Working Directory",""
"read_excel","readxl","Read an Excel file",""
"geom_smooth","GGPLOT2","Generates a smoothed conditional means curve / line",""
"read_csv","readr","Read CSV files",""
"with","base","evaluate expression in the context of a data frame",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"write.csv","utils","write a csv file to a data frame",""
"lm","stats","Fit linear models using least squares",""
"matrix","base","Creates a matrix from the given set of values.",""
"data.frame","base","Create a data.frame from vectors",""
"summary","base","Obtain summary statistics or detailed regression output",""
"attach","base","Attach Set of R Objects to Search Path",""
"confint","stats","Calculate confidence Intervals for Model Parameters",""
"element_line","GGPLOT2","Customise line appearance",""
"xlab","GGPLOT2","Label the x axis (ggplot)",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"ggtitle","GGPLOT2","Generates a title for a ggplot graph",""
"ggsave","GGPLOT2","Save a ggplot to file",""
"list","base","Create a list object",""
"modelsummary","modelsummary","Creates regression and data tables",""
"group_tt","tinytable","Grouping in tinytable",""
"save_tt","tinytable","Save a tinytable object to a file",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"names","base","Get or set names of an object",""
"dim","base","Get dimensions of a data frame ",""
"class","base","Retrieve class of an R object",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"geom_hline","GGPLOT2","Add a horizontal line in GGPLOT2",""
"mean","base","Get mean of a vector",""
"geom_vline","GGPLOT2","Draws a vertical line",""
"save_plot","cowplot","Save a plot to a file",""
"theme_latex","tinytable","A theme for modelsummary/tinytable tables",""
"rm","base","Remove objects",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"plotPlane","rockchalk","Draw a 3-D regression plot for two predictors",""
"str","utils","Get the structure of an R object",""
"head","utils","Show first 5 rows of a data frame",""
"geom_histogram","GGPLOT2","Generates a histogram",""
"after_stat","GGPLOT2","Control aesthetic evaluation. On the module used for displying percent",""
"quantile","stats","Obtain empirical quantiles of a vector",""
"select","dplyr","Select columns from a tibble/data frame",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of variables",""
"which","base","return indexes of TRUE entries of a logical vector",""
"colnames","base","Retrieve column names of a data frame",""
"order","base","Get indexes that will sort a vector",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"summarise","dplyr","collapse the dataset to a summary statistic. Usually used with group_by()",""
"print","base","Print object to the console",""
"geom_bar","GGPLOT2","Generates a bar chart",""
"reorder","stats","Reorder Levels of Factor based on the values of a second variable, usually numeric.",""
"coord_flip","GGPLOT2","Flip the x and y axes of a graph",""
"predict","stats","Generate predicted values from model objects",""
